TimeSeries ID,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:BatchGetDocuments,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:Commit,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:ListCollectionIds,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:ListDocuments,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:Lookup,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:Query,api/request_latencies.firestore.googleapis.com/Database.ALIGN_DELTA.REDUCE_PERCENTILE_50.metric.type="firestore.googleapis.com/api/request_latencies" resource.type="firestore.googleapis.com/Database" AND resource.labels."database_id"="(default)" AND resource.labels."resource_container"="educationapp-4780a".60s.project_id:educationapp-4780a.api_method:RunQuery
api_method,BatchGetDocuments,Commit,ListCollectionIds,ListDocuments,Lookup,Query,RunQuery
project_id,educationapp-4780a,educationapp-4780a,educationapp-4780a,educationapp-4780a,educationapp-4780a,educationapp-4780a,educationapp-4780a
Sat Feb 28 2026 11:00:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.057499999999999996,undefined,undefined,undefined,undefined
Sat Feb 28 2026 11:10:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.0625,undefined,undefined,undefined,undefined
Sat Feb 28 2026 11:15:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,undefined,undefined,undefined,0.0625,0.0625
Sat Feb 28 2026 11:20:00 GMT+0500 (Узбекистан, стандартное время),undefined,0.065,undefined,undefined,undefined,0.09625,0.09625
Sat Feb 28 2026 13:55:00 GMT+0500 (Узбекистан, стандартное время),0.0625,0.0625,undefined,undefined,undefined,undefined,undefined
Sat Feb 28 2026 14:10:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.035625,0.04333333333333333,undefined,undefined,undefined
Sat Feb 28 2026 14:15:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.034999999999999996,0.041249999999999995,undefined,undefined,undefined
Sat Feb 28 2026 14:25:00 GMT+0500 (Узбекистан, стандартное время),0.03625,0.057499999999999996,undefined,undefined,undefined,0.0625,0.0625
Sat Feb 28 2026 14:35:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.04625,0.055,0.03375,undefined,undefined
Sat Feb 28 2026 14:40:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.039375,undefined,undefined,undefined,undefined
Sat Feb 28 2026 14:50:00 GMT+0500 (Узбекистан, стандартное время),0.028999999999999998,0.034999999999999996,0.042499999999999996,0.057499999999999996,undefined,0.055,0.055
Sat Feb 28 2026 14:55:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,undefined,undefined,undefined,0.041249999999999995,0.041249999999999995
Sat Feb 28 2026 15:05:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.04,0.0725,undefined,undefined,undefined
Sat Feb 28 2026 15:55:00 GMT+0500 (Узбекистан, стандартное время),0.055,0.06999999999999999,undefined,undefined,undefined,undefined,undefined
Sat Feb 28 2026 16:05:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,undefined,undefined,undefined,0.04,0.04
Sat Feb 28 2026 16:15:00 GMT+0500 (Узбекистан, стандартное время),0.057499999999999996,0.04875,undefined,undefined,undefined,0.0625,0.0625
Sat Feb 28 2026 16:30:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.057499999999999996,0.04375,undefined,undefined,undefined
Sat Feb 28 2026 18:15:00 GMT+0500 (Узбекистан, стандартное время),0.0525,undefined,undefined,undefined,undefined,0.0875,0.0875
Sat Feb 28 2026 19:25:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,undefined,undefined,undefined,0.0625,0.0625
Sat Feb 28 2026 19:45:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,undefined,undefined,undefined,0.11249999999999999,0.11249999999999999
Sat Feb 28 2026 20:00:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.0325,0.08249999999999999,undefined,0.075,0.075
Sat Feb 28 2026 20:05:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.041249999999999995,0.0625,undefined,undefined,undefined
Sat Feb 28 2026 20:30:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,0.0375,0.0525,undefined,undefined,undefined
Sun Mar 01 2026 10:20:00 GMT+0500 (Узбекистан, стандартное время),0.03125,0.0375,0.045,0.057499999999999996,undefined,undefined,undefined
Sun Mar 01 2026 10:25:00 GMT+0500 (Узбекистан, стандартное время),0.03875,0.0675,undefined,undefined,undefined,0.04625,0.04625
Sun Mar 01 2026 10:30:00 GMT+0500 (Узбекистан, стандартное время),0.045,0.06,undefined,undefined,undefined,undefined,undefined
Sun Mar 01 2026 10:55:00 GMT+0500 (Узбекистан, стандартное время),undefined,undefined,undefined,undefined,undefined,0.057499999999999996,0.057499999999999996
